split,data_split,model,n_obs,n_positive,prevalence,pr_auc,roc_auc,brier_score,top_frac,k_n,precision_at_k,recall_at_k,lift_at_k,model_display_name
validation,validation,logistic_regression,27478,375,0.013647281461532863,0.7568718377137557,0.9978040315340244,0.005186490722568681,0.05,1374,0.27292576419213976,1.0,19.99854439592431,Logistic regression baseline
validation,validation,lightgbm_raw,27478,375,0.013647281461532863,0.7877142907282088,0.9979919566099695,0.1376475467066926,0.05,1374,0.27292576419213976,1.0,19.99854439592431,LightGBM raw score
validation,validation,lightgbm_calibrated,27478,375,0.013647281461532863,0.7877142907282088,0.9979919566099695,0.0037358338099189314,0.05,1374,0.27292576419213976,1.0,19.99854439592431,LightGBM calibrated likelihood
test,test,logistic_regression,26342,310,0.011768278794320856,0.7870566150249207,0.9983116313420703,0.004432052775325806,0.05,1318,0.23520485584218512,1.0,19.986342943854325,Logistic regression baseline
test,test,lightgbm_raw,26342,310,0.011768278794320856,0.8039195940273273,0.9984343710966155,0.1375066388057332,0.05,1318,0.23520485584218512,1.0,19.986342943854325,LightGBM raw score
test,test,lightgbm_calibrated,26342,310,0.011768278794320856,0.8039195940273273,0.9984343710966155,0.0031439006690607177,0.05,1318,0.23520485584218512,1.0,19.986342943854325,LightGBM calibrated likelihood
